register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon,estimated_dates,start_date,end_date
﻿99400603169,"Parada de taxis * C Provença, 211",,,2018-07-10T16:09:19+02:00,2024-08-02T14:33:21.244229+02:00,,,268003,C Provença,211,,08,l'Antiga Esquerra de l'Eixample,02,Eixample,08008,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,429628.835853961,4582665.621015506,41.392446296272354,2.1582507119842202,,,
﻿99400603174,"Parada de taxis * Rda Litoral (Llobregat), 108",,,2018-07-10T16:09:19+02:00,2024-08-02T15:30:08.712638+02:00,,,701266,Rda Litoral (Llobregat),108,,02,el Barri Gòtic,01,Ciutat Vella,08039,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,431253.66945062554,4580766.738881236,41.37548414942442,2.177899771421635,,,
﻿99400603178,"Parada de taxis * C Laforja, 67",,,2018-07-10T16:09:19+02:00,2024-08-02T14:39:22.498104+02:00,,,175900,C Laforja,67,,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,08021,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,428622.5325249315,4583179.387792547,41.39698491862279,2.1461544662087664,,,
﻿99400603077,"Parada de taxis * C Consell de Cent, 250",,,2018-07-10T16:09:18+02:00,2024-08-02T14:27:19.198337+02:00,,,089004,C Consell de Cent,250,,08,l'Antiga Esquerra de l'Eixample,02,Eixample,08011,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,429832.25899943,4582078.287788475,41.38717415952875,2.1607517574901145,,,
﻿99400603054,"Parada de taxis * Ctra Carmel, 9999",,,2018-07-10T16:09:18+02:00,2024-08-02T15:03:57.146458+02:00,,,067001,Ctra Carmel,9999,,37,el Carmel,07,Horta-Guinardó,08024,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,429408.19546946813,4585186.959380226,41.41513570930272,2.155317736377739,,,
﻿99400603057,"Parada de taxis * C Consell de Cent, 441",,,2018-07-10T16:09:18+02:00,2024-08-02T14:27:27.729282+02:00,,,089004,C Consell de Cent,441,,07,la Dreta de l'Eixample,02,Eixample,08013,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,430956.6878355341,4583218.236898215,41.397538619485594,2.174069295632127,,,
﻿99400603059,"Parada de taxis * C Josep Ferrater i Móra, 2",,,2018-07-10T16:09:18+02:00,2024-08-02T14:38:55.733342+02:00,,,701205,C Josep Ferrater i Móra,2,,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,08019,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,434170.40449676843,4583782.989030518,41.40289472134772,2.2124484059606537,,,
﻿99400603074,"Parada de taxis * C Pujades, 167",,,2018-07-10T16:09:18+02:00,2024-08-02T14:34:02.017482+02:00,,,270901,C Pujades,167,,68,el Poblenou,10,Sant Martí,08005,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,433157.7413627648,4583644.984177896,41.401568193543625,2.200349784710972,,,
﻿99400603235,"Parada de taxis * C Balmes, 449",,,2018-07-10T16:09:19+02:00,2024-08-02T14:23:17.767196+02:00,,,032700,C Balmes,449,,25,Sant Gervasi - la Bonanova,05,Sarrià-Sant Gervasi,08022,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,427845.58176555316,4584621.188566497,41.40990127534579,2.1366894145875155,,,
﻿99400603240,"Parada de taxis * C Rambla, 44",,,2018-07-10T16:09:19+02:00,2024-08-02T14:34:13.880649+02:00,,,034308,C Rambla,44,,02,el Barri Gòtic,01,Ciutat Vella,08002,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,431000.9938140857,4581223.389372252,41.37957544331094,2.174826474600639,,,
